Db,Source,originalsource,Site,Habitat_type,Latitude,Longitude,Site_name,Plot,sitename,Soil_type,Year collected,Depth,U_depth_cm,L_depth_cm,Center Depth (cm),BD_reported_g_cm3,Gamma Year,fractionC,fractionOM,fraction inorgC,fracCmodeled,fractionN,,notes,DOI,,N_perc,OC_perc,C/N,,C density,N density mg cm-3,C:N=15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,1,,,,0-1,0,1,0.5,0.139026181,2016.542466,0.156705484,,,,0.010778321,,,,,1.077832103,15.67054844,14.53895129,,,1.49846881,1.044703229,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,1,,,,1-2,1,2,1.5,0.193390833,2011.659811,0.130886936,,,,0.008628997,,,,,0.862899721,13.08869362,15.1682673,,,1.668768958,0.872579575,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,1,,,,2-3,2,3,2.5,0.178402504,2007.372357,0.129329014,,,,0.008132703,,,,,0.813270271,12.93290138,15.90234126,,,1.450894528,0.862193425,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,1,,,,3-4,3,4,3.5,0.217038543,2003.921861,0.109492397,,,,0.007450847,,,,,0.745084703,10.94923973,14.6952953,,,1.617120984,0.729949315,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,1,,,,4-5,4,5,4.5,0.238271805,2000.902457,0.086989832,,,,0.006453109,,,,,0.645310938,8.698983192,13.48029713,,,1.53759402,0.579932213,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,1,,,,9-10,9,10,9.5,0.156611594,1985.392533,0.040913987,,,,0.003733381,,,,,0.373338133,4.091398716,10.95896281,,,0.584690801,0.272759914,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,1,,,,14-15,14,15,14.5,0.336260893,1975.016768,0.027788699,,,,0.002327203,,,,,0.232720256,2.778869867,11.94081648,,,0.782547211,0.185257991,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,1,,,,19-20,19,20,19.5,0.30609186,1961.054032,0.052539959,,,,0.003932732,,,,,0.393273175,5.253995895,13.35965998,,,1.203777176,0.350266393,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,1,,,,24-25,24,25,24.5,0.719909742,1933.688165,0.010835165,,,,0.000990275,,,,,0.099027455,1.083516479,10.94157656,,,0.712908296,0.072234432,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,1,,,,29-30,29,30,29.5,0.343147488,1898.898607,0.029102824,,,,0.002471833,,,,,0.247183293,2.910282373,11.77378267,,,0.848203261,0.194018825,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,1,,,,34-35,34,35,34.5,0.21417968,,0.141562033,,,,0.008292279,,,,,0.829227865,14.15620327,17.07154797,,,1.776037588,0.943746885,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,1,,,,39-40,39,40,39.5,0.386728092,,0.071866083,,,,0.005006881,,,,,0.500688076,7.186608315,14.35346408,,,1.936301443,0.479107221,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,1,,,,44-45,44,45,44.5,0.479374468,,0.093666849,,,,0.005711201,,,,,0.571120143,9.366684914,16.40055079,,,2.737804147,0.624445661,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,1,,,,49-50,49,50,49.5,1.60150227,,0.004101265,,,,0.000428205,,,,,0.042820513,0.410126507,9.577804565,,,0.685771488,0.027341767,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,1,,,,54-56,54,56,55,1.296918984,,0.007718075,,,,0.000819452,,,,,0.081945151,0.771807492,9.418586475,,,1.06276222,0.051453833,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,1,,,,60-62,60,62,61,1.548688198,,0.007976473,,,,0.000715771,,,,,0.071577139,0.797647297,11.14388346,,,1.108506704,0.053176486,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,1,,,,66-68,66,68,67,0.625991002,,0.057642426,,,,0.004436657,,,,,0.443665653,5.764242649,12.99231213,,,2.777307067,0.384282843,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,1,,,,72-74,72,74,73,0.263719697,,0.278875141,,,,0.016582321,,,,,1.658232093,27.88751411,16.81761813,,,4.373084651,1.859167607,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,1,,,,78-80,78,80,79,0.250235681,,0.269666977,,,,0.017480979,,,,,1.748097897,26.96669769,15.42630864,,,4.374364677,1.797779846,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,1,,,,84-86,84,86,85,0.209338,,0.260178108,,,,0.016085428,,,,,1.6085428,26.01781082,16.17477062,,,3.367291327,1.734520721,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,1,,,,90-92,90,92,91,0.21882594,,0.328750382,,,,0.016592028,,,,,1.659202814,32.87503815,19.81375506,,,3.630766154,2.19166921,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,1,,,,96-98,96,98,97,0.21574061,,0.273151684,,,,0.01719328,,,,,1.719328046,27.31516838,15.88711849,,,3.709288814,1.821011225,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,1,,,,102-104,102,104,103,0.217510961,,0.258739185,,,,0.017999703,,,,,1.799970269,25.87391853,14.37463661,,,3.91513263,1.724927902,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,7,,,,0-1,0,1,0.5,0.205707805,2016.545205,0.19233202,,,,0.011010133,,,,,1.101013303,19.23320198,17.46863724,,,2.264870298,1.282213465,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,7,,,,1-2,1,2,1.5,0.125154368,2007.015346,0.176114578,,,,0.009761029,,,,,0.976102948,17.61145782,18.04262333,,,1.221635476,1.174097188,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,7,,,,2-3,2,3,2.5,0.251062413,2000.174999,0.214772377,,,,0.012603675,,,,,1.260367513,21.4772377,17.04045644,,,3.164309091,1.431815847,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,7,,,,3-4,3,4,3.5,0.221091845,1995.014675,0.241402626,,,,0.01332273,,,,,1.332273006,24.1402626,18.11960648,,,2.945546969,1.60935084,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Weston et al 2023,,Maine,Salt marsh,,,1. Maine,7,,,,4-5,4,5,4.5,0.140985257,1989.812168,0.239775772,,,,0.014547353,,,,,1.454735279,23.97757721,16.4824333,,,2.050962272,1.598505147,,,,,,,,,,,,,,,,,,,,,,,,,,,
