"Database","Source","study_id","study_site_core","site_id","Site","Plot","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0,0.01,8,0.68,0.17,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.01,0.02,9.53,0.7,0.15,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.02,0.03,9.06,0.64,0.17,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.03,0.04,9.23,0.64,0.18,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.04,0.05,9.71,0.62,0.21,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.05,0.06,9.32,0.6,0.2,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.06,0.07,9.4,0.61,0.23,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.07,0.08,9.79,0.61,0.31,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.08,0.09,10.14,0.61,0.32,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.09,0.1,11.28,0.6,0.26,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.1,0.11,10.54,0.6,0.22,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.11,0.12,11.21,0.6,0.31,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.12,0.13,10.54,0.58,0.31,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.13,0.14,12.26,0.62,0.26,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.14,0.15,13.23,0.61,0.31,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.15,0.16,13.07,0.55,0.29,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.16,0.17,10.18,0.47,0.37,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.17,0.18,8.82,0.42,0.39,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.18,0.19,8.35,0.4,0.37,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.19,0.2,9.12,0.4,0.38,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.2,0.21,8.73,0.4,0.37,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.21,0.22,6.72,0.33,0.46,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.22,0.23,7.81,0.35,0.3,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.23,0.24,6.75,0.32,0.44,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.24,0.25,8.82,0.38,0.27,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.25,0.26,11.78,0.41,0.26,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.26,0.27,6.83,0.34,0.31,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.27,0.28,10.1,0.41,0.25,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.28,0.29,12.46,0.48,0.28,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.29,0.3,11.71,0.44,0.31,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.3,0.31,11.03,0.43,0.3,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.31,0.32,10.05,0.4,0.32,"https://doi.org/10.1177/09596836166328"
